Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,43.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,David Parker,27.4,27.4,42.4,28.2,29.9,38.0,35.4,12.8,31.1,30.2,38.8,29.1,21.2,12.8,19.6,33.1,20.7,31.1,24.9,26.3,34.1,22.3,11.5,40.5,33.4,22.3,44.9,19.6,44.3,38.2,43.2,12.6,32.3,22.7,25.4,38.0,33.8,43.3,15.0,24.3,31.3,37.3,11.2,12.4,18.1,37.2,22.8,23.4,29.9,29.1,31.2,33.8,43.2,23.0,28.2,36.7,30.1,28.5,23.9,27.0,27.47
2,Maya Reed,18.7,14.0,35.7,27.5,25.6,23.5,29.7,19.2,19.1,21.1,25.6,44.9,20.0,42.1,37.3,27.2,14.3,39.8,25.8,26.3,41.5,25.6,13.1,33.9,31.0,39.6,21.2,22.2,12.3,18.4,29.0,41.2,39.8,34.9,35.6,42.5,32.3,37.8,27.8,31.7,14.2,17.0,14.9,37.7,28.8,10.9,29.4,22.9,38.1,31.3,29.3,31.4,13.0,20.8,22.3,45.0,35.2,28.4,36.9,36.6,28.83
3,Gabriel Hayes,12.6,44.0,32.5,25.7,27.3,33.8,22.1,40.7,37.3,35.3,32.4,16.4,43.8,25.1,27.4,41.9,11.9,14.3,15.4,18.3,15.8,21.3,34.8,22.1,22.8,42.9,41.3,39.6,18.8,27.8,32.2,29.3,14.4,20.6,22.5,28.7,27.6,15.9,43.0,35.4,15.4,33.1,35.2,31.2,29.9,39.5,29.7,38.9,11.0,21.0,11.6,32.5,30.2,32.8,29.6,36.8,24.6,32.4,27.4,28.9,27.18
4,Naomi Foster,20.1,43.5,26.9,38.2,35.0,34.0,20.4,12.6,12.1,16.2,25.4,26.9,17.1,31.2,28.0,20.9,35.1,35.7,40.1,36.3,44.1,14.6,23.0,29.7,28.7,21.2,26.3,19.4,18.7,20.1,13.4,20.2,23.4,31.5,26.5,18.7,40.3,15.6,21.5,22.8,30.2,20.9,36.7,27.4,28.1,28.0,27.5,20.8,10.8,16.7,43.1,27.7,43.8,17.5,25.8,22.4,11.8,27.3,40.9,32.7,26.41
5,Samuel Bennett,26.5,28.8,39.7,25.1,27.7,40.9,35.5,36.7,22.8,28.8,24.0,30.0,16.8,29.4,27.1,12.6,27.6,36.8,19.8,22.1,44.6,33.8,14.2,44.1,38.8,23.8,37.8,21.9,42.9,36.9,36.4,17.0,27.8,27.5,27.3,11.6,14.8,21.7,26.6,22.4,26.0,31.2,28.0,21.5,24.3,31.5,15.7,44.7,35.9,33.8,20.5,21.8,39.0,28.6,28.0,34.8,20.5,38.6,22.9,26.3,28.62
6,Anna Coleman,44.3,30.4,37.9,35.4,36.3,34.1,10.9,26.6,43.8,35.8,37.4,37.2,30.2,35.2,35.1,30.4,16.0,32.0,31.7,29.5,39.4,15.2,33.8,11.1,18.4,43.2,13.8,10.7,21.0,21.6,15.3,34.2,24.4,37.1,32.1,42.2,40.5,35.8,12.2,23.1,14.8,17.3,21.4,33.2,27.1,28.4,21.0,16.1,41.9,33.9,22.0,22.4,37.0,35.2,32.0,32.5,34.3,31.4,16.7,23.1,29.0
7,Jack Barnes,80.1,65.1,98.8,68.4,73.6,68.0,64.3,86.7,69.3,70.8,70.7,97.0,90.8,67.3,74.8,60.5,85.4,72.1,99.1,88.5,91.8,98.0,91.2,68.1,78.3,67.9,87.1,70.6,74.9,75.0,66.5,76.6,64.1,79.2,75.1,97.0,86.3,61.2,82.7,82.2,81.4,65.9,85.1,78.9,78.3,83.7,57.4,73.6,87.3,81.0,59.5,89.7,55.2,79.8,75.1,96.8,73.3,97.1,94.5,92.3,78.75
8,Elena Ross,64.0,98.4,69.5,84.1,81.4,95.9,59.0,80.8,79.1,78.9,87.5,97.2,96.1,62.9,75.2,94.7,62.9,96.4,99.9,93.8,72.9,77.3,97.1,98.3,92.0,96.7,94.5,55.4,80.6,81.2,59.8,99.2,67.8,99.5,89.9,79.4,77.2,97.2,93.3,89.8,76.1,63.7,60.1,62.3,64.0,75.7,66.6,63.4,88.1,80.3,90.6,80.6,89.1,62.9,72.4,93.5,95.4,92.2,78.2,84.4,81.94
9,Carter Powell,85.1,63.3,61.3,69.6,69.7,66.2,66.7,65.6,88.9,79.8,97.9,68.6,87.5,55.5,67.2,84.4,86.2,57.8,60.3,66.6,68.8,73.2,77.6,95.3,86.5,86.7,69.0,60.3,96.2,86.5,68.3,82.7,64.9,61.0,65.4,61.9,88.6,82.3,73.7,75.3,79.7,76.2,79.2,84.9,82.3,64.8,66.1,89.0,94.3,85.9,58.7,75.1,86.7,58.5,64.5,80.4,57.8,79.6,77.7,75.7,75.45
