Year-End Class Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Grade 3S - Year Based Grading Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year,January - December 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Coursework Weight,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year Exam Weight,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Students,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class Average,26.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Year Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Health and Family Life Education,,,,,Spelling,,,,,Reading,,,,,Reading Comprehension,,,,,Mathematics,,,,,General Knowledge,,,,,Grammar,,,,,Language Arts,,,,,General Science,,,,,Social Studies,,,,,Agricultural Science,,,,,Home Economics,,,,,
Position,Student,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,M,H,T,E,Year,Year Average
1,Jane Doe,43.6,40.5,35.6,18.0,26.8,21.6,35.0,38.2,10.6,19.0,15.8,41.3,14.1,32.9,29.2,21.5,32.6,40.2,30.4,30.8,23.7,21.3,31.7,32.0,29.4,24.3,26.3,28.8,19.0,22.0,16.3,29.9,13.5,30.9,26.5,38.1,39.0,18.8,24.5,27.5,42.3,22.2,44.7,17.0,24.8,39.4,11.4,33.4,38.2,34.1,29.2,32.1,42.0,44.9,40.7,16.3,28.3,11.4,23.2,21.4,27.68
2,John Doe,15.1,15.6,31.9,13.0,16.1,15.4,10.3,38.5,18.5,19.7,12.5,31.7,35.1,32.1,29.8,29.2,28.7,35.2,20.9,25.0,39.5,34.3,40.0,41.2,39.9,39.4,28.2,28.3,35.7,34.2,30.3,11.0,42.1,17.0,21.3,27.0,25.8,13.3,30.2,26.9,30.7,38.5,31.4,20.7,25.8,29.8,43.6,32.3,39.5,37.8,10.4,34.1,17.4,15.7,17.7,21.6,16.2,13.0,17.4,17.2,25.95
3,Sarah Williams,18.1,18.7,38.0,12.9,17.7,17.0,11.9,27.7,18.0,18.3,28.6,18.3,16.9,27.1,24.8,12.5,41.0,29.7,23.8,25.4,29.2,43.2,27.3,23.8,27.6,17.6,23.3,37.1,31.5,29.3,19.7,41.4,14.7,22.5,23.6,37.2,42.0,26.1,10.4,20.3,29.6,24.9,11.0,22.2,22.1,40.9,11.3,16.2,15.8,18.6,37.9,20.8,34.0,33.6,32.5,10.4,25.3,14.2,38.0,29.5,24.14
4,James Thompson,27.1,22.9,38.4,38.8,35.1,12.4,13.3,21.3,21.0,18.9,25.4,25.0,44.0,33.5,32.7,43.6,31.6,18.2,29.9,30.4,15.6,30.4,15.0,42.6,33.7,20.6,41.3,17.7,17.3,21.0,18.6,38.8,39.0,36.1,34.5,30.1,15.1,18.3,11.1,15.1,42.6,14.5,35.0,10.0,18.3,20.0,31.1,16.4,12.4,16.4,41.4,20.0,10.2,34.7,30.4,44.6,29.1,11.2,24.6,26.1,26.05
5,Michael Brown,31.3,18.6,24.6,36.0,31.5,33.0,39.1,43.3,28.2,32.3,44.3,14.1,28.1,33.6,31.7,42.5,26.5,25.3,41.2,37.3,26.5,12.0,25.8,19.5,20.3,33.0,38.6,11.6,21.1,23.8,41.5,38.3,37.4,23.6,29.8,43.4,39.7,38.7,29.0,33.6,32.4,14.6,11.2,10.5,14.1,11.9,27.8,43.1,30.1,29.1,37.6,36.4,43.1,19.7,27.4,27.4,42.4,21.6,34.4,32.8,28.64
6,Emily Davis,24.4,15.4,17.1,22.6,21.1,11.0,40.9,22.4,18.4,20.9,38.0,10.2,36.7,25.8,26.8,13.1,23.9,44.5,11.4,17.7,19.9,16.2,30.7,17.0,19.1,39.7,22.8,43.3,14.3,22.7,18.0,10.9,11.6,16.4,15.2,30.6,29.3,35.4,18.2,23.6,31.0,44.5,21.2,18.2,23.8,16.5,43.8,32.3,27.3,28.7,27.3,12.8,17.9,34.5,28.4,18.8,28.0,41.6,16.4,21.6,22.47
7,Robert Johnson,26.5,36.7,36.0,38.9,36.6,41.9,30.2,17.9,27.8,28.7,42.4,16.9,20.3,16.9,20.8,40.7,13.4,15.3,31.3,28.0,35.5,24.8,36.2,34.7,33.7,23.7,12.6,34.2,31.7,28.4,43.6,34.6,12.2,16.8,22.1,20.8,35.4,20.8,18.2,21.2,16.5,19.5,27.4,34.8,29.3,39.7,13.5,29.3,44.0,37.4,23.9,14.4,32.9,38.9,32.8,11.4,13.0,20.7,22.8,19.7,28.22
8,Olivia Martinez,14.0,13.0,24.7,43.4,32.9,29.8,19.7,43.6,19.9,24.4,14.9,14.3,10.8,42.1,30.6,28.6,44.3,28.9,12.5,21.1,23.0,22.1,15.5,12.8,15.8,34.1,40.5,42.7,18.3,26.6,31.6,18.9,39.5,42.0,37.2,10.4,16.7,40.4,44.4,35.6,39.7,12.3,31.0,37.0,33.3,30.0,29.0,37.1,12.1,20.1,29.9,44.0,29.2,22.6,27.3,14.8,41.2,33.5,43.4,38.0,28.57
9,Daniel Lee,43.7,34.2,39.9,38.6,38.9,36.0,24.6,33.7,37.4,35.0,19.3,37.5,31.1,23.3,25.7,25.2,42.1,12.3,11.5,17.5,27.5,13.7,39.9,42.2,36.1,22.5,22.3,33.1,40.9,34.9,32.3,41.3,22.0,26.3,28.5,34.0,36.0,23.4,22.4,25.9,39.6,33.4,28.6,18.8,24.8,22.8,13.0,18.6,13.2,15.2,17.9,31.8,29.5,39.7,34.4,29.8,21.9,22.2,39.1,33.3,29.18
